JUNGLESCOUT KEYWORD SCOUT CSV EXPORT
Report Generated at: 2023-06-19 18:47:44 UTC
"Search Term(s): '[""splash filter sink faucet aerator""]'"
Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,Recommended Promotions,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score,Organic Product Count,Sponsored Product Count
aerator for sink faucet,4587,24%,45%,9967,Tools & Home Improvement,20,$0.59,$0.71,Easy,33,6000,26
aerator for moen bathroom faucet,450,17%,72%,540,Tools & Home Improvement,9,---,---,Easy,14,416,5
aerator for kitchen sink faucet,450,104%,219%,540,Tools & Home Improvement,18,---,---,Easy,37,20000,36
aerator for kitchen faucet,450,17%,405%,2700,Tools & Home Improvement,17,$1.48,$1.26,Easy,32,20000,2
aerator for faucet,450,104%,219%,15124,Tools & Home Improvement,17,$1.33,$1.33,Easy,43,20000,36
aerator for bathroom sink faucet,450,104%,219%,540,Tools & Home Improvement,18,---,---,Easy,40,3000,36
aerator for bathroom faucet,450,104%,-34%,2250,Tools & Home Improvement,17,---,---,Easy,32,50000,49
aerator faucet replacement,450,104%,219%,600,Tools & Home Improvement,14,$1.13,$1.22,Easy,26,6000,36
aerator faucet,1557,158%,222%,15124,Tools & Home Improvement,15,$1.20,$1.13,Moderate,37,6000,49
aerator bathroom faucet,450,17%,486%,2250,Tools & Home Improvement,18,$1.27,$1.18,Easy,38,30000,38
aerator adaptor,450,194%,273%,540,Tools & Home Improvement,8,---,$1.65,Easy,15,2000,48
adjustable sink faucet attachment,450,104%,217%,540,Tools & Home Improvement,12,---,---,Easy,22,1000,38
adjustable sink faucet,450,104%,337%,1350,Tools & Home Improvement,10,$1.61,$0.82,Easy,19,10000,48
adjustable sink aerator,450,17%,19%,540,Tools & Home Improvement,1,---,---,Easy,27,606,4
adjustable faucet stream,450,104%,217%,540,Tools & Home Improvement,13,---,---,Easy,34,931,36
adjustable faucet head,450,104%,217%,540,Tools & Home Improvement,12,$1.20,$1.60,Easy,16,489,38
adjustable faucet for bathroom sink,450,104%,219%,540,Tools & Home Improvement,1,---,---,Easy,17,5000,44
adjustable faucet attachment,738,35%,-9%,1338,Tools & Home Improvement,14,---,---,Easy,37,659,42
adjustable faucet,450,104%,200%,7188,Tools & Home Improvement,4,$2.09,$1.94,Easy,19,10000,49
adjustable arm faucet,450,17%,486%,540,Tools & Home Improvement,1,---,---,Easy,14,886,3
adjust faucet stream,450,104%,207%,540,Tools & Home Improvement,5,---,---,Easy,23,627,36
adjust faucet,450,88%,72%,900,Tools & Home Improvement,5,---,---,Easy,29,2000,40
adapter for faucet,450,17%,157%,17283,Tools & Home Improvement,5,$1.91,$1.32,Easy,13,2000,4
a112.18.1 aerator,1977,384%,-5%,2877,Tools & Home Improvement,9,$0.43,$0.69,Easy,12,251,36
720 swivel sink faucet aerator,450,17%,540%,2250,Tools & Home Improvement,3,---,---,Easy,50,425,36
720 rotating faucet,450,17%,540%,540,Tools & Home Improvement,2,---,---,Moderate,42,663,6
720 rotate faucet,450,17%,486%,540,Tools & Home Improvement,1,---,---,Easy,35,452,42
720 non-splashing faucet head,450,17%,157%,540,Tools & Home Improvement,0,---,---,Easy,21,94,4
720 faucet head,450,17%,540%,1800,Tools & Home Improvement,2,---,---,Easy,31,304,38
720 faucet attachment,450,104%,-37%,540,Tools & Home Improvement,4,---,---,Easy,23,351,36
720 faucet,450,104%,219%,7200,Tools & Home Improvement,3,---,---,Easy,31,1000,48
"720 degree swivel sink faucet aerator,big angle spray aerator dual function kitchen faucet aerator, bathroom faucet mounted for face washing, gargle and eyewash station faucet aerator.",450,104%,219%,540,Tools & Home Improvement,12,---,---,Easy,38,81,24
720 degree swivel sink faucet aerator,450,104%,433%,1800,Tools & Home Improvement,2,---,---,Moderate,50,284,48
720 degree swivel movable kitchen sink faucet aerator.,450,7%,13%,900,Tools & Home Improvement,10,---,---,Easy,24,122,4
720 degree swivel movable kitchen sink faucet aerator,450,7%,13%,900,Tools & Home Improvement,4,---,---,Easy,26,125,4
720 degree swivel faucet,450,17%,19%,2700,Tools & Home Improvement,4,---,---,Moderate,45,262,38
720 degree faucet head,450,17%,282%,540,Tools & Home Improvement,3,---,---,Easy,36,178,37
720 degree faucet,450,104%,219%,3600,Tools & Home Improvement,3,---,---,Easy,45,517,60
720 degree,450,104%,-26%,4950,Tools & Home Improvement,2,$2.51,$1.48,Difficult,20,5000,21
55/64 male to 55/64 male adapter,450,118%,379%,540,Tools & Home Improvement,0,---,---,Easy,17,225,38
360° ​​rotating universal pressurized faucet sprayer,450,17%,72%,540,Tools & Home Improvement,0,---,---,Easy,12,142,6
360 swivel faucet,450,104%,63%,2250,Tools & Home Improvement,9,$1.90,$0.90,Easy,38,30000,36
360 sink faucet head,450,104%,219%,540,Tools & Home Improvement,7,---,---,Easy,16,4000,38
360 rotation faucet,450,395%,-47%,540,Tools & Home Improvement,8,---,---,Easy,24,40000,48
360 rotating faucet,450,104%,173%,1950,Tools & Home Improvement,3,$1.27,$1.43,Easy,29,30000,36
360 rotate swivel faucet nozzle,450,104%,219%,540,Tools & Home Improvement,8,---,---,Easy,41,2000,36
360 faucet attachment,450,269%,355%,540,Tools & Home Improvement,12,$0.50,$1.44,Easy,30,2000,36
360 faucet,450,104%,219%,8400,Tools & Home Improvement,5,$1.20,$1.45,Easy,19,60000,36
360 degree sink aerator head,450,17%,486%,540,Tools & Home Improvement,6,$0.98,$0.92,Easy,36,448,4
360 degree rotating faucet,450,104%,511%,540,Tools & Home Improvement,5,$1.46,$1.75,Moderate,16,10000,48
360 degree rotate faucet,450,17%,486%,540,Tools & Home Improvement,2,$1.08,$1.08,Easy,33,671,36
360 bathroom faucet,450,17%,486%,1350,Tools & Home Improvement,22,---,---,Easy,12,40000,36
360 adjustable kitchen faucet tap,450,17%,486%,540,Tools & Home Improvement,1,---,---,Easy,21,1000,42
3 way kitchen faucet attachment,450,17%,93%,540,Tools & Home Improvement,7,---,---,Easy,19,410,4
2.0 gpm faucet aerator,450,17%,19%,540,Tools & Home Improvement,2,---,---,Easy,22,486,36
180158 aerator,450,104%,-6%,1800,Tools & Home Improvement,6,---,---,Easy,11,76,24
13/16 faucet aerator,450,104%,-49%,540,Tools & Home Improvement,0,---,---,Easy,13,220,36
1080° swivel splash-proof faucet,450,17%,19%,540,Tools & Home Improvement,0,---,---,Easy,53,184,37
1080° rotating splash filter faucet,450,104%,-6%,540,Tools & Home Improvement,0,---,---,Easy,58,976,36
1080° rotating multifunctional extension tap,450,17%,282%,540,Tools & Home Improvement,0,---,---,Easy,39,264,36
1080° rotating faucet extender aerator,450,17%,29%,540,Tools & Home Improvement,0,---,---,Easy,59,785,36
"1080° large angle universal rotation, more flexible and adjustable",450,17%,19%,540,Tools & Home Improvement,0,---,---,Easy,29,91,12
1080° drehbarer multifunktionaler verlängerungshahn,450,17%,19%,540,Tools & Home Improvement,0,---,---,Easy,35,80,24
1080 swivel faucet aerator,42702,4661%,1009%,43152,Tools & Home Improvement,28,---,---,Easy,56,1000,36
1080 swivel faucet,1192,53%,69%,47539,Tools & Home Improvement,14,---,---,Easy,60,337,24
1080 swivel bathroom sink faucet,450,17%,486%,900,Tools & Home Improvement,12,---,---,Easy,50,1000,36
1080 rotating splash filter faucet,450,104%,467%,1800,Tools & Home Improvement,9,---,---,Easy,87,913,36
1080 rotating faucet extender,14203,255%,253%,14653,Tools & Home Improvement,18,---,---,Easy,49,1000,48
1080 large-angle rotating splash filter faucet,450,284%,326%,540,Tools & Home Improvement,0,---,---,Easy,45,256,36
1080 filter faucet,450,17%,72%,2250,Tools & Home Improvement,3,---,---,Easy,85,1000,38
1080 faucet extender,931,71%,30%,14653,Tools & Home Improvement,1,---,---,Easy,41,1000,36
1080 faucet adapter,450,17%,55%,540,Tools & Home Improvement,7,---,---,Easy,45,536,36
1080 faucet,718,-33%,192%,66510,Tools & Home Improvement,11,---,---,Easy,43,2000,48
1080 degree swivel faucet for bathroom sink,945,79%,103%,1395,Tools & Home Improvement,11,---,---,Easy,53,717,24
1080 degree swivel faucet,450,104%,219%,2295,Tools & Home Improvement,4,---,---,Somewhat Difficult,53,559,36
1080 degree faucet,450,88%,144%,3195,Tools & Home Improvement,9,---,---,Easy,64,1000,37
1.2 gpm faucet aerator,450,104%,219%,540,Tools & Home Improvement,2,---,---,Easy,16,213,36
